area0,area1,area2,area3,area4
알 수 없는 광석들로 가득 찬 동굴 속으로 들어 왔다. 탄광의 흔적이 보이는 것으로 보아 쓸만한 광석이지 않을까 생각이 든다.,크고 작은 돌의 틈 사이로 찾고 있던 열매를 살짝 보였다. 가까이 다가가서 돌을 치워서 확인하고 손을 뻗어 가져왔다. 재료를 얻었다.,9/어둠 속을 걷다가 뒤에서 파드득 소리가 들렸다.. 뒤를 돌아볼까 말까? /8돌아본다 7무시한다 /6/한 박쥐가 머리 위로 날아가자 밑으로 열매들이 굴러 떨어졌다! 깜짝 놀랐지만 열매를 얻어서 기분이 좋다. 재료를 얻었다./5/그냥 평범한 박쥐의 소리일 게 뻔하니 뒤도 돌아보지 않고 앞을 향해 나아갔다.,특이한 나비가 눈앞에 날아다니고 있다. 손을 뻗으니 가만히 손 위에 내려앉았다. 아마도 같이 가고 싶어하는 것 같다! 나비를 얻었다.,계속 걷다 보니 점점 지쳐가고 있다. 슬슬 모험을 마무리 짓고 집으로 돌아가는 게 나을 것 같다.
파드득 소리와 함께 위를 쳐다보니 여러 마리의 박쥐들이 날아다니고 있었다. 다행히 공격성은 없어 보이지만 혹시 모르니 몸을 숙이고 나아가자.,박쥐 주변에 가려져 있었던 열매가 서서히 보이기 시작했다. 박쥐들이 놀라지 않게 천천히 앞으로 다가가서 열매를 가져왔다. 재료를 얻었다.,9/어둠 속을 걷다가 뒤에서 파드득 소리가 들렸다.. 뒤를 돌아볼까 말까? /8돌아본다 7무시한다 /6/조심스레 뒤를 돌아보자 갑자기 박쥐들이 날아다녔다. 깜짝 놀라서 뒤로 넘어질 뻔했다../5/소리에 깜짝 놀라서 나도 모르게 달렸다. 정신없이 달려보니 주변에 열매들이 있었다! 재료를 얻었다.,저 멀리서 신비한 가루를 뿌리고 있는 나비가 보인다. 가루를 따라서 걸어가 보니 나비가 나에게 다가와 앉았다! 나비를 얻었다.,저 멀리 길의 끝이 보이기 시작했다. 모험이 끝나는 것을 느끼며 끝을 향해 열심히 걸어 나갔다.
은은한 노란 빛으로 자라는 버섯 동굴에 도착했다. 식용이 아니기에 함부로 건드리면 안된다. 맛도 없어 보이고.. 무시하고 가자.,똑똑 위에서 떨어지는 물방울 소리를 따라 뒤를 쳐다보니 열매가 있었다. 물기가 묻은 촉촉한 열매를 가볍게 닦고 가져왔다. 재료를 얻었다.,9/벽을 따라 걷다 보니 동굴 길이 양쪽으로 나뉘어 있는 곳에 도달했다. 어느 길로 갈까? /8 왼쪽  7 오른쪽 /6/왼쪽으로 방향을 틀자 종유석으로 가득한 막다른 벽과 마주쳤다.. 다시 되돌아갔다../5/오른쪽으로 돌아서 깊이 들어가자 많은 열매가 반겨주고 있는 장소를 발견했다! 재료를 얻었다.,작은 틈에서 뭔가 반짝이는 걸 발견했다. 자세히 보니 나비가 앉아서 쉬고 있었다. 그러다 내 쪽으로 날아오더니 어깨에 앉았다! 나비를 얻었다.,모험의 끝을 알려주기라도 하는 듯 저 멀리 빛이 보이기 시작했다. 집을 향해 발걸음을 가볍게 옮겼다.
종유석이 여기저기 자라나 있고 물방울이 똑똑 떨어지는 소리가 이따금 들려온다. 살짝 찬 공기에 몸이 움츠러들지만 이내 다시 몸을 펴고 움직였다.,울퉁불퉁한 돌길을 지나가다 보니 발밑에 열매가 스쳐 지나갔다. 하마터면 어두워서 못 보고 그냥 지나칠 뻔했다. 재료를 얻었다.,9/벽을 따라 걷다 보니 동굴 길이 양쪽으로 나뉘어 있는 곳에 도달했다. 어느 길로 갈까? /8 왼쪽  7 오른쪽 /6/왼쪽으로 돌아서 깊이 들어가자 많은 열매가 반겨주고 있는 장소를 발견했다! 재료를 얻었다./5/오른쪽으로 방향을 틀자 종유석으로 가득한 막다른 벽과 마주쳤다.. 다시 되돌아갔다..,길을 걷다 보니 눈앞에 반짝이는 나비가 다가왔다. 나비가 있는 쪽을 향해 손을 뻗자 잠시 주춤하면서 사뿐히 손 위로 앉았다. 나비를 얻었다.,이제 모험의 끝이 보이기 시작했다. 피곤한 몸을 이끌고 끝을 향해 힘을 쥐어짜서 열심히 걸어갔다.
다양한 돌들이 여기 저기 물기에 적셔져 있다. 크고 험악한 돌도 보이지만 작고 맨들맨들한 돌도 보인다. 돌을 따라 앞으로 걸어 나갔다.,차가운 동굴의 공기로 집중력이 떨어지고 있을 때 멀리서 무언가 반짝이는 걸 발견했다. 빠르게 다가가 살펴보니 열매가 있었다. 재료를 얻었다.,좀 더 어두운 장소가 보인다. 깜깜한 어둠을 헤치고 밖에서 새어 들어오는 빛을 따라가 보니 열매들을 발견했다! 재료를 얻었다.,한 마리의 신비로워 보이는 나비가 내게로 천천히 다가왔다. 잠시 동안 주변을 맴돌더니 무언가 결심한 듯 내 어깨에 앉았다! 나비를 얻었다.,피곤함이 점점 몰려오기 시작해서 발걸음이 느려지고 있다. 슬슬 돌아가야 할 때가 된 것 같다.
화산재로 뒤덮인 어느 산기슭에 다다랐다. 용암처럼 뜨겁지는 않지만 아직 열기가 채 식지 않은 듯 여러 군데에서 증기가 피어나고 있다.,뜨거운 열기 속에 작은 열매가 있는 것을 발견했다. 크기는 작지만 윤기가 나고 있는 걸 보니 상태는 나쁘지 않은 것 같다. 재료를 얻었다.,9/뜨거운 열기 건너편에 빨갛게 빛나는 무언가가 보인다. 가까이 다가가 볼까? / 8다가간다 7안 간다 /6/가까이 다가가 보니 뜨거운 용암의 열기가 나를 반겨주었다. 아무것도 없는 것 같은데 더우니까 빨리 벗어나자../5/무시하고 반대쪽으로 걸어가니 얼마 가지 않아 주변에 열매가 맺혀 있는 곳을 발견했다! 재료를 얻었다.,특이한 나비가 눈앞에 날아다니고 있다. 손을 뻗으니 가만히 손 위에 내려앉았다. 아마도 같이 가고 싶어하는 것 같다! 나비를 얻었다.,계속 걷다 보니 점점 지쳐가고 있다. 슬슬 모험을 마무리 짓고 집으로 돌아가는 게 나을 것 같다.
흐르는 용암이 더위를 더욱 부채질하고 있다. 숨이 막히는 더위에 몸이 두 배로 힘든 것 같은 기분이 든다. 조금 떨어져서 걸어도 나쁘지 않을 것 같다.,구석에서 살짝 익은 듯한 열매를 발견했다. 뜨거운 열기 속이라서 상태가 안 좋을까 봐 걱정했지만 열매 속은 괜찮아 보인다. 재료를 얻었다.,9/뜨거운 열기 건너편에 빨갛게 빛나는 무언가가 보인다. 가까이 다가가 볼까? / 8다가간다 7안 간다 /6/뜨거운 열기를 헤치고 가까이 다가가 보니 열매들이 무더기로 자라나 있었다! 재료를 얻었다./5/아무래도 위험해 보인다. 가까이 다가가는 것은 좋지 않을 것 같다..,저 멀리서 신비한 가루를 뿌리고 있는 나비가 보인다. 가루를 따라서 걸어가 보니 나비가 나에게 다가와 앉았다! 나비를 얻었다.,저 멀리 길의 끝이 보이기 시작했다. 모험이 끝나는 것을 느끼며 끝을 향해 열심히 걸어 나갔다.
뜨거운 바닥이 모험의 앞길을 가로막는다. 열기에 발걸음은 무겁지만 재료를 얻기 위해서라도 힘을 내 걸어갔다.,치익 거리는 소리와 함께 열매가 타들어 가는 걸 발견했다. 다 타서 없어지기 전에 서둘러서 열매를 건져 왔다. 재료를 얻었다.,"9/더위에 지쳐 있을 무렵, 용암이 두 갈래로 나누어져 있는 곳에 도착을 했다. 어느 쪽으로 갈까?  /8 왼쪽  7 오른쪽 /6/왼쪽으로 꺾어서 걸어가 보니 여기저기 용암 웅덩이가 있었다. 웅덩이 주변을 자세히 보니 열매들이 자라나 있다! 재료를 얻었다./5/오른쪽으로 쭉 따라가 보니 용암의 끝이 보인다. 이 이상 전진해도 아무것도 없을 것 같다..",작은 틈에서 뭔가 반짝이는 걸 발견했다. 자세히 보니 나비가 앉아서 쉬고 있었다. 그러다 내 쪽으로 날아오더니 어깨에 앉았다! 나비를 얻었다.,모험의 끝을 알려주기라도 하는 듯 저 멀리 빛이 보이기 시작했다. 집을 향해 발걸음을 가볍게 옮겼다.
위에서 흘러내리는 용암의 열기에 압도당할 것 같다. 멀리서만 봐도 무시무시한 열기에 나도 모르게 털이 쭈뼛 선다.,용암 건너편에 열매가 자라나 있는 것을 발견했다. 빗자루로 가볍게 넘어가서 작게 열려 있는 열매를 가지고 왔다. 재료를 얻었다.,"9/더위에 지쳐 있을 무렵, 용암이 두 갈래로 나누어져 있는 곳에 도착을 했다. 어느 쪽으로 갈까?  /8 왼쪽  7 오른쪽 /6/왼쪽으로 쭉 따라가 보니 용암의 끝이 보인다. 이 이상 전진해도 아무것도 없을 것 같다../5/오른쪽으로 꺾어서 걸어가 보니 여기저기 용암 웅덩이가 있었다. 웅덩이 주변을 자세히 보니 열매들이 자라나 있다! 재료를 얻었다.",길을 걷다 보니 눈앞에 반짝이는 나비가 다가왔다. 나비가 있는 쪽을 향해 손을 뻗자 잠시 주춤하면서 사뿐히 손 위로 앉았다. 나비를 얻었다.,이제 모험의 끝이 보이기 시작했다. 피곤한 몸을 이끌고 끝을 향해 힘을 쥐어짜서 열심히 걸어갔다.
열기를 피해 더 나아가니 유황으로 뒤덮인 장소가 보였다. 유해 성분으로 오래 머물면 안 좋기 때문에 빠르게 빠져나왔다. ,아래를 내려다보니 바닥에 열매들이 굴러다닌다. 어찌 된 영문인가 하고 시선을 따라가 보니 열매가 있던 나무가 불타고 있었다. 재료를 얻었다.,까맣게 쌓여있는 화산재 속에서 빨간 빛을 발견했다. 설레는 마음으로 다가가 보니 용암이 흐르고 있었다..,한 마리의 신비로워 보이는 나비가 내게로 천천히 다가왔다. 잠시 동안 주변을 맴돌더니 무언가 결심한 듯 내 어깨에 앉았다! 나비를 얻었다.,피곤함이 점점 몰려오기 시작해서 발걸음이 느려지고 있다. 슬슬 돌아가야 할 때가 된 것 같다.
